"DATE_NAME","DATE_CODE","GEOGRAPHY_NAME","GEOGRAPHY_CODE","SEX_NAME","AGE_NAME","OBS_VALUE","OBS_STATUS"
"2024","2024","Rushmoor","E07000092","Total","All ages",105751,"A"
"2024","2024","Test Valley","E07000093","Total","All ages",135201,"A"
"2024","2024","Winchester","E07000094","Total","All ages",135632,"A"
"2024","2024","Ashford","E07000105","Total","All ages",140936,"A"
"2024","2024","Canterbury","E07000106","Total","All ages",162100,"A"
"2024","2024","Dartford","E07000107","Total","All ages",125011,"A"
"2024","2024","Dover","E07000108","Total","All ages",119768,"A"
"2024","2024","Gravesham","E07000109","Total","All ages",110671,"A"
"2024","2024","Maidstone","E07000110","Total","All ages",187767,"A"
"2024","2024","Sevenoaks","E07000111","Total","All ages",122748,"A"
"2024","2024","Folkestone and Hythe","E07000112","Total","All ages",112411,"A"
"2024","2024","Swale","E07000113","Total","All ages",158379,"A"
"2024","2024","Thanet","E07000114","Total","All ages",142691,"A"
"2024","2024","Tonbridge and Malling","E07000115","Total","All ages",136853,"A"
"2024","2024","Tunbridge Wells","E07000116","Total","All ages",119694,"A"
"2024","2024","Cherwell","E07000177","Total","All ages",170426,"A"
"2024","2024","Oxford","E07000178","Total","All ages",166034,"A"
"2024","2024","South Oxfordshire","E07000179","Total","All ages",156470,"A"
"2024","2024","Vale of White Horse","E07000180","Total","All ages",149347,"A"
"2024","2024","West Oxfordshire","E07000181","Total","All ages",120941,"A"
"2024","2024","Elmbridge","E07000207","Total","All ages",141926,"A"
"2024","2024","Epsom and Ewell","E07000208","Total","All ages",83288,"A"
"2024","2024","Guildford","E07000209","Total","All ages",151359,"A"
"2024","2024","Mole Valley","E07000210","Total","All ages",88709,"A"
"2024","2024","Reigate and Banstead","E07000211","Total","All ages",159134,"A"
"2024","2024","Runnymede","E07000212","Total","All ages",92118,"A"
"2024","2024","Spelthorne","E07000213","Total","All ages",107074,"A"
"2024","2024","Surrey Heath","E07000214","Total","All ages",94492,"A"
"2024","2024","Tandridge","E07000215","Total","All ages",90586,"A"
"2024","2024","Waverley","E07000216","Total","All ages",134284,"A"
"2024","2024","Woking","E07000217","Total","All ages",105679,"A"
"2024","2024","Adur","E07000223","Total","All ages",64889,"A"
"2024","2024","Arun","E07000224","Total","All ages",170064,"A"
"2024","2024","Chichester","E07000225","Total","All ages",128934,"A"
"2024","2024","Crawley","E07000226","Total","All ages",124008,"A"
"2024","2024","Horsham","E07000227","Total","All ages",151521,"A"
"2024","2024","Mid Sussex","E07000228","Total","All ages",161755,"A"
"2024","2024","Worthing","E07000229","Total","All ages",113866,"A"
"2024","2024","Bath and North East Somerset","E06000022","Total","All ages",200028,"A"
"2024","2024","Bournemouth, Christchurch and Poole","E06000058","Total","All ages",408967,"A"
"2024","2024","Bristol, City of","E06000023","Total","All ages",494399,"A"
"2024","2024","Cornwall","E06000052","Total","All ages",583289,"A"
"2024","2024","Isles of Scilly","E06000053","Total","All ages",2366,"A"
"2024","2024","North Somerset","E06000024","Total","All ages",224578,"A"
"2024","2024","Plymouth","E06000026","Total","All ages",272067,"A"
"2024","2024","South Gloucestershire","E06000025","Total","All ages",306332,"A"
"2024","2024","Swindon","E06000030","Total","All ages",243875,"A"
"2024","2024","Torbay","E06000027","Total","All ages",140126,"A"
"2024","2024","Wiltshire","E06000054","Total","All ages",523700,"A"
"2024","2024","East Devon","E07000040","Total","All ages",158239,"A"
"2024","2024","Exeter","E07000041","Total","All ages",138399,"A"
"2024","2024","Mid Devon","E07000042","Total","All ages",84993,"A"
"2024","2024","North Devon","E07000043","Total","All ages",101222,"A"
"2024","2024","South Hams","E07000044","Total","All ages",92148,"A"
"2024","2024","Teignbridge","E07000045","Total","All ages",138548,"A"
"2024","2024","Torridge","E07000046","Total","All ages",69841,"A"
"2024","2024","West Devon","E07000047","Total","All ages",58923,"A"
"2024","2024","Dorset","E06000059","Total","All ages",389947,"A"
"2024","2024","Cheltenham","E07000078","Total","All ages",121739,"A"
"2024","2024","Cotswold","E07000079","Total","All ages",91661,"A"
"2024","2024","Forest of Dean","E07000080","Total","All ages",89753,"A"
"2024","2024","Gloucester","E07000081","Total","All ages",138598,"A"
"2024","2024","Stroud","E07000082","Total","All ages",125680,"A"
"2024","2024","Tewkesbury","E07000083","Total","All ages",101949,"A"
"2024","2024","Mendip","E07000187","Total","All ages",,"Q"
"2024","2024","Sedgemoor","E07000188","Total","All ages",,"Q"
"2024","2024","South Somerset","E07000189","Total","All ages",,"Q"
"2024","2024","Somerset West and Taunton","E07000246","Total","All ages",,"Q"
"2024","2024","Isle of Anglesey","W06000001","Total","All ages",69097,"A"
"2024","2024","Gwynedd","W06000002","Total","All ages",120813,"A"
"2024","2024","Conwy","W06000003","Total","All ages",114891,"A"
"2024","2024","Denbighshire","W06000004","Total","All ages",98202,"A"
"2024","2024","Flintshire","W06000005","Total","All ages",155867,"A"
"2024","2024","Wrexham","W06000006","Total","All ages",138245,"A"
"2024","2024","Powys","W06000023","Total","All ages",135059,"A"
"2024","2024","Ceredigion","W06000008","Total","All ages",72599,"A"
"2024","2024","Pembrokeshire","W06000009","Total","All ages",125761,"A"
"2024","2024","Carmarthenshire","W06000010","Total","All ages",190800,"A"
"2024","2024","Swansea","W06000011","Total","All ages",251304,"A"
"2024","2024","Neath Port Talbot","W06000012","Total","All ages",143249,"A"
"2024","2024","Bridgend","W06000013","Total","All ages",147530,"A"
"2024","2024","Vale of Glamorgan","W06000014","Total","All ages",135743,"A"
"2024","2024","Cardiff","W06000015","Total","All ages",383919,"A"
"2024","2024","Rhondda Cynon Taff","W06000016","Total","All ages",242844,"A"
"2024","2024","Merthyr Tydfil","W06000024","Total","All ages",58972,"A"
"2024","2024","Caerphilly","W06000018","Total","All ages",176865,"A"
"2024","2024","Blaenau Gwent","W06000019","Total","All ages",67873,"A"
"2024","2024","Torfaen","W06000020","Total","All ages",94119,"A"
"2024","2024","Monmouthshire","W06000021","Total","All ages",94930,"A"
"2024","2024","Newport","W06000022","Total","All ages",167899,"A"
"2024","2024","Aberdeen City","S12000033","Total","All ages",231780,"A"
"2024","2024","Aberdeenshire","S12000034","Total","All ages",265080,"A"
"2024","2024","Angus","S12000041","Total","All ages",114810,"A"
"2024","2024","Argyll and Bute","S12000035","Total","All ages",87690,"A"
"2024","2024","Clackmannanshire","S12000005","Total","All ages",52110,"A"
"2024","2024","Dumfries and Galloway","S12000006","Total","All ages",145860,"A"
"2024","2024","Dundee City","S12000042","Total","All ages",149880,"A"
"2024","2024","East Ayrshire","S12000008","Total","All ages",121480,"A"
"2024","2024","East Dunbartonshire","S12000045","Total","All ages",109970,"A"
"2024","2024","East Lothian","S12000010","Total","All ages",115180,"A"
"2024","2024","East Renfrewshire","S12000011","Total","All ages",99830,"A"
"2024","2024","City of Edinburgh","S12000036","Total","All ages",530680,"A"
